"No.","Time","TCP Delta","Length","Protocol","Stream index","Destination Port","Time since first frame in this TCP stream","Epoch Arrival Time","Info"
"1","21:40:39","0.000000000","56","TCP","0","502","0.000000000","1726620039.530957000","57020  >  mbap(502) [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"2","21:40:39","0.000135000","56","TCP","0","57020","0.000135000","1726620039.531092000","mbap(502)  >  57020 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"3","21:40:39","0.000067000","44","TCP","0","502","0.000202000","1726620039.531159000","57020  >  mbap(502) [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","21:40:41","2.103760000","56","Modbus/TCP","0","502","2.103962000","1726620041.634919000","   Query: Trans:     1; Unit:   3, Func:   4: Read Input Registers"
"5","21:40:41","0.000080000","44","TCP","0","57020","2.104042000","1726620041.634999000","mbap(502)  >  57020 [ACK] Seq=1 Ack=13 Win=2619648 Len=0"
"6","21:40:43","0.000000000","56","TCP","1","502","0.000000000","1726620043.095459000","57040  >  mbap(502) [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"7","21:40:43","0.000115000","56","TCP","1","57040","0.000115000","1726620043.095574000","mbap(502)  >  57040 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"8","21:40:43","0.000069000","44","TCP","1","502","0.000184000","1726620043.095643000","57040  >  mbap(502) [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"9","21:40:43","1.460762000","44","TCP","0","502","3.564804000","1726620043.095761000","57020  >  mbap(502) [FIN, ACK] Seq=13 Ack=1 Win=2619648 Len=0"
"10","21:40:43","0.000065000","44","TCP","0","57020","3.564869000","1726620043.095826000","mbap(502)  >  57020 [ACK] Seq=1 Ack=14 Win=2619648 Len=0"
"11","21:40:45","2.024977000","56","Modbus/TCP","1","502","2.025161000","1726620045.120620000","   Query: Trans:     1; Unit:   3, Func:   4: Read Input Registers"
"12","21:40:45","0.000087000","44","TCP","1","57040","2.025248000","1726620045.120707000","mbap(502)  >  57040 [ACK] Seq=1 Ack=13 Win=2619648 Len=0"
"13","21:40:46","3.009729000","55","Modbus/TCP","0","57020","6.574598000","1726620046.105555000","Response: Trans:     1; Unit:   3, Func:   4: Read Input Registers"
"14","21:40:46","0.000128000","44","TCP","0","502","6.574726000","1726620046.105683000","57020  >  mbap(502) [ACK] Seq=14 Ack=12 Win=2619648 Len=0"
"15","21:40:46","0.020574000","44","TCP","0","57020","6.595300000","1726620046.126257000","mbap(502)  >  57020 [FIN, ACK] Seq=12 Ack=14 Win=2619648 Len=0"
"16","21:40:46","0.000159000","44","TCP","0","502","6.595459000","1726620046.126416000","57020  >  mbap(502) [ACK] Seq=14 Ack=13 Win=2619648 Len=0"
"17","21:40:46","1.005908000","55","Modbus/TCP","1","57040","3.031156000","1726620046.126615000","Response: Trans:     1; Unit:   3, Func:   4: Read Input Registers"
"18","21:40:46","0.000196000","44","TCP","1","502","3.031352000","1726620046.126811000","57040  >  mbap(502) [ACK] Seq=13 Ack=12 Win=2619648 Len=0"
"19","21:40:46","0.000000000","56","TCP","2","502","0.000000000","1726620046.534458000","57057  >  mbap(502) [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"20","21:40:46","0.000121000","56","TCP","2","57057","0.000121000","1726620046.534579000","mbap(502)  >  57057 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"21","21:40:46","0.000061000","44","TCP","2","502","0.000182000","1726620046.534640000","57057  >  mbap(502) [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"22","21:40:46","0.407910000","44","TCP","1","502","3.439262000","1726620046.534721000","57040  >  mbap(502) [FIN, ACK] Seq=13 Ack=12 Win=2619648 Len=0"
"23","21:40:46","0.000061000","44","TCP","1","57040","3.439323000","1726620046.534782000","mbap(502)  >  57040 [ACK] Seq=12 Ack=14 Win=2619648 Len=0"
"24","21:40:46","0.013354000","44","TCP","1","57040","3.452677000","1726620046.548136000","mbap(502)  >  57040 [FIN, ACK] Seq=12 Ack=14 Win=2619648 Len=0"
"25","21:40:46","0.000063000","44","TCP","1","502","3.452740000","1726620046.548199000","57040  >  mbap(502) [ACK] Seq=14 Ack=13 Win=2619648 Len=0"
"26","21:40:48","2.021714000","56","Modbus/TCP","2","502","2.021896000","1726620048.556354000","   Query: Trans:     1; Unit:   3, Func:   4: Read Input Registers"
"27","21:40:48","0.000044000","44","TCP","2","57057","2.021940000","1726620048.556398000","mbap(502)  >  57057 [ACK] Seq=1 Ack=13 Win=2619648 Len=0"
"28","21:40:48","0.017718000","55","Modbus/TCP","2","57057","2.039658000","1726620048.574116000","Response: Trans:     1; Unit:   3, Func:   4: Read Input Registers"
"29","21:40:48","0.000052000","44","TCP","2","502","2.039710000","1726620048.574168000","57057  >  mbap(502) [ACK] Seq=13 Ack=12 Win=2619648 Len=0"
"30","21:40:50","2.004759000","56","Modbus/TCP","2","502","4.044469000","1726620050.578927000","   Query: Trans:     2; Unit:   3, Func:   4: Read Input Registers"
"31","21:40:50","0.000051000","44","TCP","2","57057","4.044520000","1726620050.578978000","mbap(502)  >  57057 [ACK] Seq=12 Ack=25 Win=2619648 Len=0"
"32","21:40:50","0.001130000","55","Modbus/TCP","2","57057","4.045650000","1726620050.580108000","Response: Trans:     2; Unit:   3, Func:   4: Read Input Registers"
"33","21:40:50","0.000044000","44","TCP","2","502","4.045694000","1726620050.580152000","57057  >  mbap(502) [ACK] Seq=25 Ack=23 Win=2619648 Len=0"
"34","21:40:52","2.015968000","56","Modbus/TCP","2","502","6.061662000","1726620052.596120000","   Query: Trans:     3; Unit:   3, Func:   4: Read Input Registers"
"35","21:40:52","0.000078000","44","TCP","2","57057","6.061740000","1726620052.596198000","mbap(502)  >  57057 [ACK] Seq=23 Ack=37 Win=2619648 Len=0"
"36","21:40:52","0.009504000","55","Modbus/TCP","2","57057","6.071244000","1726620052.605702000","Response: Trans:     3; Unit:   3, Func:   4: Read Input Registers"
"37","21:40:52","0.000068000","44","TCP","2","502","6.071312000","1726620052.605770000","57057  >  mbap(502) [ACK] Seq=37 Ack=34 Win=2619648 Len=0"
"38","21:40:54","1.988379000","56","Modbus/TCP","2","502","8.059691000","1726620054.594149000","   Query: Trans:     4; Unit:   3, Func:   4: Read Input Registers"
"39","21:40:54","0.000037000","44","TCP","2","57057","8.059728000","1726620054.594186000","mbap(502)  >  57057 [ACK] Seq=34 Ack=49 Win=2619648 Len=0"
"40","21:40:54","0.015685000","55","Modbus/TCP","2","57057","8.075413000","1726620054.609871000","Response: Trans:     4; Unit:   3, Func:   4: Read Input Registers"
"41","21:40:54","0.000051000","44","TCP","2","502","8.075464000","1726620054.609922000","57057  >  mbap(502) [ACK] Seq=49 Ack=45 Win=2619648 Len=0"
"42","21:40:56","1.990077000","56","Modbus/TCP","2","502","10.065541000","1726620056.599999000","   Query: Trans:     5; Unit:   3, Func:   4: Read Input Registers"
"43","21:40:56","0.000090000","44","TCP","2","57057","10.065631000","1726620056.600089000","mbap(502)  >  57057 [ACK] Seq=45 Ack=61 Win=2619648 Len=0"
"44","21:40:56","0.016558000","55","Modbus/TCP","2","57057","10.082189000","1726620056.616647000","Response: Trans:     5; Unit:   3, Func:   4: Read Input Registers"
"45","21:40:56","0.000104000","44","TCP","2","502","10.082293000","1726620056.616751000","57057  >  mbap(502) [ACK] Seq=61 Ack=56 Win=2619648 Len=0"
"46","21:40:58","1.996771000","56","Modbus/TCP","2","502","12.079064000","1726620058.613522000","   Query: Trans:     6; Unit:   3, Func:   4: Read Input Registers"
"47","21:40:58","0.000054000","44","TCP","2","57057","12.079118000","1726620058.613576000","mbap(502)  >  57057 [ACK] Seq=56 Ack=73 Win=2619648 Len=0"
"48","21:40:58","0.012373000","55","Modbus/TCP","2","57057","12.091491000","1726620058.625949000","Response: Trans:     6; Unit:   3, Func:   4: Read Input Registers"
"49","21:40:58","0.000080000","44","TCP","2","502","12.091571000","1726620058.626029000","57057  >  mbap(502) [ACK] Seq=73 Ack=67 Win=2619648 Len=0"
"50","21:41:00","2.003293000","56","Modbus/TCP","2","502","14.094864000","1726620060.629322000","   Query: Trans:     7; Unit:   3, Func:   4: Read Input Registers"
"51","21:41:00","0.000091000","44","TCP","2","57057","14.094955000","1726620060.629413000","mbap(502)  >  57057 [ACK] Seq=67 Ack=85 Win=2619648 Len=0"
"52","21:41:00","0.005523000","55","Modbus/TCP","2","57057","14.100478000","1726620060.634936000","Response: Trans:     7; Unit:   3, Func:   4: Read Input Registers"
"53","21:41:00","0.000042000","44","TCP","2","502","14.100520000","1726620060.634978000","57057  >  mbap(502) [ACK] Seq=85 Ack=78 Win=2619648 Len=0"
"54","21:41:02","1.992998000","56","Modbus/TCP","2","502","16.093518000","1726620062.627976000","   Query: Trans:     8; Unit:   3, Func:   4: Read Input Registers"
"55","21:41:02","0.000075000","44","TCP","2","57057","16.093593000","1726620062.628051000","mbap(502)  >  57057 [ACK] Seq=78 Ack=97 Win=2619648 Len=0"
"56","21:41:02","0.017534000","55","Modbus/TCP","2","57057","16.111127000","1726620062.645585000","Response: Trans:     8; Unit:   3, Func:   4: Read Input Registers"
"57","21:41:02","0.000042000","44","TCP","2","502","16.111169000","1726620062.645627000","57057  >  mbap(502) [ACK] Seq=97 Ack=89 Win=2619648 Len=0"
"58","21:41:04","1.983632000","56","Modbus/TCP","2","502","18.094801000","1726620064.629259000","   Query: Trans:     9; Unit:   3, Func:   4: Read Input Registers"
"59","21:41:04","0.000092000","44","TCP","2","57057","18.094893000","1726620064.629351000","mbap(502)  >  57057 [ACK] Seq=89 Ack=109 Win=2619648 Len=0"
